ncols	240
nrows	240
xllcorner	268962.000000
yllcorner	5401414.000000
cellsize	100.000000
NODATA_value	-1.000000
29	29	27	25	25	25	27	30	33	37	41	46	50	55	61	69	76	82	86	88	90	91	80	62	47	38	32	28	24	21	18	16	15	18	23	27	28	27	22	15	13	18	28	35	39	41	43	47	44	31	24	23	28	31	32	30	29	31	33	35	38	42	45	46	46	47	48	49	50	50	50	51	53	53	55	58	62	63	66	66	64	60	58	54	46	38	32	29	26	22	18	17	17	16	13	11	10	11	11	10	13	17	22	28	35	45	57	72	85	100	111	112	111	116	124	127	123	112	109	112	114	114	112	114	118	118	120	120	114	111	110	106	103	98	93	87	79	72	69	64	60	58	55	50	45	46	44	34	26	26	30	35	39	40	34	25	18	16	16	16	17	18	17	16	19	23	27	30	31	32	31	30	30	31	32	33	31	26	24	25	24	22	19	15	15	18	22	26	30	33	37	41	46	53	62	71	75	69	61	57	59	64	68	70	75	77	73	65	59	55	55	55	49	45	43	40	38	36	35	34	39	40	31	20	13	14	17	16	14	15	13	9	10	11	10	12	18	27	38	46	
27	29	30	28	28	29	31	34	37	41	43	46	48	49	53	58	63	69	75	76	74	72	63	51	42	35	31	28	25	22	19	17	16	18	22	25	26	26	22	18	18	27	38	45	46	45	42	42	38	28	26	29	34	37	36	34	33	36	39	42	44	46	46	45	44	45	46	46	47	48	48	48	49	49	51	53	55	57	59	61	60	59	58	55	50	45	39	35	31	27	23	21	20	18	17	14	13	15	15	15	17	21	25	31	37	42	47	54	65	75	86	94	97	103	109	111	110	107	105	103	103	103	102	103	106	107	110	113	110	108	106	101	97	95	93	89	82	75	70	64	60	58	54	50	46	47	45	36	30	29	33	38	41	39	31	24	18	16	16	16	18	19	19	20	25	31	36	38	39	39	38	38	39	40	41	41	37	32	31	32	31	30	26	21	20	24	29	33	36	39	42	45	49	54	58	60	59	57	55	55	58	60	60	63	65	65	61	57	54	52	52	51	46	44	43	41	39	38	36	35	37	36	28	18	13	14	18	16	13	16	15	11	11	13	13	15	22	31	44	52	
24	29	33	34	36	37	38	41	44	46	47	47	46	45	47	49	50	54	58	56	54	50	41	35	31	29	28	27	26	24	22	21	21	22	23	23	23	26	26	27	36	49	57	58	55	50	44	41	36	28	30	39	44	44	43	42	42	45	48	51	51	51	49	47	44	45	45	44	46	47	46	46	47	47	48	50	50	51	54	55	56	57	58	57	56	55	53	50	47	41	36	34	31	28	28	26	25	28	29	29	33	34	35	38	40	41	41	43	47	51	57	64	73	77	77	76	82	90	94	88	86	88	90	92	91	92	97	101	100	96	92	86	82	82	82	83	81	78	72	65	60	57	53	48	46	47	45	40	37	37	40	45	44	38	29	23	19	18	18	17	19	24	30	37	48	55	55	53	52	53	53	52	53	55	54	50	47	45	47	47	45	43	41	36	36	41	43	45	47	47	48	50	53	54	54	50	45	46	49	52	55	56	53	53	54	51	47	47	48	49	49	47	43	41	42	40	39	39	38	36	34	32	25	16	12	15	22	20	14	16	18	16	17	19	22	27	33	39	53	61	
24	28	32	34	38	38	39	43	45	46	47	48	47	45	46	47	46	47	48	45	43	40	33	27	25	25	26	27	27	25	22	23	24	25	25	23	24	30	34	38	47	54	58	56	53	50	47	45	41	33	34	40	43	45	46	46	46	49	52	53	53	52	51	49	44	44	44	44	45	46	46	47	49	50	51	52	53	54	56	57	58	59	60	60	59	58	57	56	55	51	47	45	40	36	37	34	32	36	35	35	38	39	40	44	44	43	43	43	43	45	47	50	54	58	60	63	73	80	82	80	82	82	83	85	83	83	87	90	89	87	85	78	74	72	71	73	75	75	73	67	60	56	52	48	46	46	45	42	40	37	40	47	47	41	32	26	21	20	19	18	22	32	43	52	59	63	62	61	62	62	60	58	56	56	55	52	50	49	49	49	47	45	42	39	40	45	49	51	50	49	49	51	52	52	51	48	40	41	46	49	52	53	51	51	51	47	44	44	46	48	49	46	42	40	39	39	39	39	38	35	32	31	25	17	14	16	23	23	16	16	19	20	24	27	30	35	41	46	61	68	
23	28	32	35	38	39	40	44	46	47	48	48	47	46	46	45	45	45	44	41	37	33	28	25	23	23	24	26	27	25	22	23	24	25	28	29	32	40	43	47	55	60	60	56	52	49	47	47	44	39	40	43	45	46	48	49	49	51	54	55	54	52	51	48	44	44	45	45	47	47	47	48	50	52	54	55	55	57	58	59	60	62	63	64	64	64	62	61	61	60	58	55	50	46	48	46	44	45	43	42	43	42	43	47	49	48	47	46	45	45	47	47	45	47	52	59	66	69	67	67	72	74	74	76	76	78	79	77	75	77	79	75	70	68	67	66	66	68	69	66	60	55	51	47	45	46	45	43	41	38	38	46	49	44	35	27	22	21	22	21	26	38	49	56	60	63	65	68	70	69	68	67	64	62	61	60	59	57	56	56	55	54	52	49	50	54	58	60	56	53	53	53	53	51	51	48	37	37	42	45	48	50	50	49	48	44	42	42	45	47	46	44	41	39	38	38	38	38	36	34	33	32	26	20	17	16	22	23	20	22	24	27	33	38	43	47	51	53	64	70	
22	28	33	35	39	40	41	45	47	48	49	48	47	46	46	45	44	44	44	41	38	32	25	23	23	22	23	26	28	27	25	28	32	37	46	50	50	52	52	53	58	61	60	57	55	52	50	48	45	42	44	47	47	47	49	50	51	52	54	55	54	50	47	45	44	46	48	49	50	51	50	50	51	52	53	55	56	57	58	59	60	62	63	64	66	67	66	66	65	65	65	65	64	64	63	58	53	52	49	47	50	50	51	53	54	56	56	53	51	51	51	49	44	41	43	48	53	55	52	53	60	67	69	69	71	73	73	67	63	63	60	58	59	60	61	62	59	58	60	59	56	53	49	46	44	45	45	42	41	40	39	44	48	45	36	28	23	22	25	27	32	42	53	60	63	65	64	67	69	69	69	69	69	67	65	63	64	63	63	64	64	63	61	58	57	60	64	67	65	62	60	58	56	54	52	47	36	35	40	42	45	48	48	47	45	41	39	40	43	45	43	41	39	38	37	37	38	38	35	33	34	34	27	20	18	18	22	25	25	29	32	34	39	44	48	51	55	56	64	69	
21	27	34	36	38	39	40	43	45	47	48	48	47	45	45	44	43	43	44	43	40	34	26	24	24	22	23	25	28	29	30	37	43	47	52	53	52	52	52	53	56	57	54	50	50	50	49	47	45	42	42	45	45	46	47	50	51	53	54	54	53	49	45	42	43	46	48	49	51	52	52	53	53	52	52	53	55	57	59	59	61	63	64	65	67	67	69	71	71	70	71	71	70	69	67	63	61	60	57	56	56	55	54	55	55	55	57	56	54	53	51	48	41	35	36	41	44	46	46	48	54	59	63	64	65	67	68	64	60	59	54	50	51	53	56	57	55	53	52	48	47	48	46	42	42	43	43	42	42	41	40	40	44	44	38	31	25	23	27	32	38	44	55	63	65	64	61	63	65	65	67	68	68	68	66	65	65	66	66	66	66	67	65	63	62	63	65	68	68	68	67	64	60	56	52	46	37	37	41	42	45	47	48	47	43	39	37	38	42	43	39	38	39	38	36	36	38	38	35	32	34	34	26	18	17	19	24	28	28	31	33	33	35	39	42	46	51	53	63	68	
20	27	35	36	39	39	40	43	45	47	48	48	47	46	45	44	43	43	44	45	43	37	27	25	24	22	23	25	29	31	34	42	46	45	47	46	44	45	47	50	54	54	51	46	44	45	48	49	47	43	42	43	44	45	46	49	52	54	55	56	56	53	49	46	45	46	47	48	49	50	51	52	51	51	50	52	54	57	59	61	63	64	66	67	68	68	69	72	73	73	73	73	71	70	70	69	68	67	62	59	58	55	53	55	55	54	54	53	53	52	49	45	39	33	33	37	39	40	39	42	48	53	56	58	59	60	62	59	56	54	47	42	43	47	51	53	52	51	49	44	41	41	38	36	38	40	41	40	41	41	41	39	41	43	41	35	26	22	26	33	39	43	53	63	66	65	61	60	63	65	68	70	70	69	68	66	67	68	69	69	69	70	70	68	68	67	66	68	69	69	69	67	65	61	56	49	42	42	45	45	47	49	50	49	45	39	38	39	43	42	37	36	38	37	35	35	37	37	34	31	33	34	28	19	17	20	25	28	29	29	29	29	30	33	35	41	45	48	61	67	
25	31	37	38	40	41	42	45	46	47	48	49	49	49	48	46	44	42	44	45	43	37	27	26	26	23	23	26	30	33	36	42	44	43	44	44	43	45	48	53	58	59	56	49	45	44	46	50	50	47	45	45	46	47	48	51	55	56	58	61	61	58	53	50	48	48	48	47	48	48	49	49	49	49	49	50	53	54	56	60	63	64	66	68	68	66	66	67	68	70	72	74	74	75	77	77	77	74	68	65	65	62	60	60	59	57	56	55	54	53	50	48	43	37	35	37	39	38	37	38	43	49	53	55	53	51	53	51	48	44	36	32	34	38	43	46	47	48	48	43	40	38	34	32	34	38	40	39	40	41	41	40	40	42	41	36	27	21	22	31	39	41	49	61	66	66	63	61	62	63	67	70	71	70	69	69	70	71	72	72	72	74	75	75	74	74	73	73	72	70	68	68	69	69	64	56	51	49	49	49	49	50	51	49	45	41	40	42	44	42	37	38	41	39	35	35	37	37	34	32	32	34	31	23	18	20	24	26	27	28	28	27	29	32	34	40	44	47	61	68	
39	38	38	38	40	41	41	44	45	47	48	49	49	49	48	47	44	42	42	43	42	37	29	27	28	26	26	28	33	36	40	47	50	51	53	53	52	54	56	59	61	61	58	53	49	46	44	46	48	48	47	46	46	47	49	51	55	57	59	60	59	57	53	51	51	50	49	49	49	50	51	50	50	50	50	50	52	53	55	59	62	64	67	70	70	69	69	69	68	69	72	73	74	76	78	78	78	78	76	75	74	70	68	67	64	61	59	58	57	56	54	52	48	42	38	38	40	40	39	39	42	45	49	51	50	48	49	45	42	37	31	28	31	36	41	44	44	46	47	45	44	42	36	32	33	37	39	38	39	41	41	40	39	40	40	37	30	22	21	29	37	38	42	55	62	63	60	58	58	58	62	65	66	67	69	71	73	73	73	74	73	74	74	75	76	77	78	79	77	73	71	71	72	71	67	60	55	52	51	50	49	49	49	47	43	40	41	44	44	42	39	40	42	39	35	35	37	38	34	32	32	33	32	24	18	19	22	25	27	29	30	30	34	36	40	47	52	54	66	71	
